@relation 's_0: -C -2'

@attribute NOP_method numeric
@attribute CC_method numeric
@attribute ATFD_method numeric
@attribute FDP_method numeric
@attribute CM_method numeric
@attribute MAXNESTING_method numeric
@attribute LOC_method numeric
@attribute CYCLO_method numeric
@attribute NMCS_method numeric
@attribute NOLV_method numeric
@attribute MaMCL_method numeric
@attribute NOAV_method numeric
@attribute LAA_method numeric
@attribute FANOUT_method numeric
@attribute CFNAMM_method numeric
@attribute ATLD_method numeric
@attribute CLNAMM_method numeric
@attribute CINT_method numeric
@attribute MeMCL_method numeric
@attribute CDISP_method numeric
@attribute isStatic_type numeric
@attribute number_private_visibility_attributes numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_package_visibility_attributes numeric
@attribute num_final_attributes numeric
@attribute num_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_public_visibility_methods numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_methods numeric
@attribute number_package_visibility_methods numeric
@attribute number_final_methods numeric
@attribute number_abstract_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute isStatic_method numeric
@attribute is_LM {0,1}
@attribute is_FE {0,1}

@data
6,0,42,11,0,8,391,54,5,40,3,99,0.125,18,18,6,6,48,2,0.375,0,6,0,0,0,1,0,5,0,1,10,6,0,0,0,0,16,0,0,0,0,16,11,0,0,0,1,1
4,0,5,1,0,8,165,11,0,19,0,31,0.666667,4,6,10,0,7,0,0.571429,0,51,0,0,7,7,7,50,0,0,10,22,0,1,0,0,33,0,0,0,0,33,29,0,1,0,1,1
1,0,6,2,0,8,176,41,0,14,0,21,0.142857,5,15,1,5,22,0,0.227273,0,5,12,0,8,7,7,14,1,0,17,1,22,0,0,0,40,0,0,0,0,40,37,0,1,0,1,1
0,0,0,0,0,2,49,1,0,2,0,4,1,1,1,2,1,1,0,1,0,5,12,0,8,7,7,14,1,0,17,1,22,0,0,0,40,0,0,0,0,40,37,0,1,0,0,0
8,0,11,5,0,6,143,26,0,13,0,26,0.153846,4,5,2,5,6,0,0.666667,0,8,5,9,15,1,1,7,14,0,46,0,0,15,0,0,61,0,0,0,0,61,50,0,1,0,1,1
1,0,0,0,0,2,6,2,0,1,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,3,2,0,0,0,0,5,1,0,0,1,4,3,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,10,0,0,1,9,0,2,0,0,9,0,2,10,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,4,0,1,0,0,0
1,0,30,1,0,1,4,1,0,1,0,33,0.032258,1,0,1,0,1,0,1,0,51,1,0,47,47,47,52,0,0,91,3,16,0,0,0,110,0,0,0,0,110,62,0,1,0,0,1
4,0,1,1,0,2,27,4,0,6,0,7,0,1,2,0,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,0,0,0
13,0,23,7,0,6,135,23,0,42,0,76,0.115385,8,16,3,3,25,0,0.32,0,15,0,0,0,0,0,16,0,0,9,11,0,3,0,0,23,0,0,0,0,23,19,0,1,0,1,1
4,3,12,6,3,6,159,23,0,29,0,55,0.52381,15,27,11,0,36,0,0.416667,0,1,10,0,1,1,1,10,0,0,3,0,1,0,0,0,4,1,0,0,1,3,4,0,0,0,1,1
2,0,19,6,0,6,143,17,0,20,0,47,0,11,22,0,0,33,0,0.333333,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,5,4,0,1,0,1,1
4,0,16,9,0,9,169,22,2,29,2,57,0.448276,17,16,13,0,21,2,0.809524,0,44,0,0,40,38,38,4,2,0,8,21,0,0,1,0,28,7,0,1,7,21,25,0,1,0,1,1
1,0,7,2,0,6,270,35,0,42,0,62,0.642857,11,20,9,10,22,0,0.5,0,14,0,0,6,16,6,0,0,10,36,4,0,0,9,0,31,38,9,0,29,2,38,0,1,1,1,0
4,1,0,0,1,1,5,1,0,4,0,4,0,1,1,0,1,1,0,1,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,0,0,0
5,6,15,6,6,7,126,35,0,18,0,34,0.066667,12,17,1,0,24,0,0.5,0,3,0,0,1,1,1,2,0,0,9,0,0,0,0,0,9,1,0,0,1,8,3,0,2,1,1,1
0,2,19,5,2,8,413,89,0,23,0,61,0.394737,11,18,15,7,23,0,0.478261,0,1,0,2,0,4,0,0,0,4,4,3,0,2,0,0,9,9,0,0,9,0,9,0,0,1,1,1
1,0,3,1,0,7,325,40,0,11,0,20,0.5,5,5,3,0,8,0,0.625,0,5,0,0,4,1,1,1,3,0,3,0,0,0,0,0,3,0,0,0,0,3,2,0,1,0,1,0
3,0,11,5,0,6,339,39,2,44,2,59,0.266667,14,27,4,1,39,2,0.358974,0,0,0,3,2,2,2,3,0,0,10,0,1,0,0,0,11,0,0,0,0,11,8,0,1,0,1,1
0,1,0,0,1,1,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,0
5,1,5,2,1,6,102,22,0,37,0,60,0.619048,6,14,13,1,15,0,0.4,0,27,0,0,0,0,0,27,0,0,3,4,0,0,0,0,7,0,0,0,0,7,6,0,1,0,1,0
